X,Y,site_id,site_typ,botanic,diameter,conditn,planted,add_num,add_str,modified,GlobalID
1453969.81589808,714278.923916072,,T,Liriodendron tulipifera,2,80,2022,800,pine st,2022/06/14 13:55:22+00,{E9F7B097-E456-43D1-9FFC-44E658DB2D18}
1453819.85261533,715807.311935402,3,R,Fraxinus pennsylvanica 'Patmore',5,70,2001,645,pine st,2011/08/18 00:00:00+00,{0C62A54E-5EED-4186-A48D-D8F251349CD0}
1452470.48129833,715627.610851236,4,T,Celtis occidentalis,18,80,0,69,lakeside av,2011/07/26 00:00:00+00,{23F4849D-712A-4E0C-B439-F47733206B88}
1452438.71003641,715622.416963987,5,T,Celtis occidentalis,14,80,0,63,lakeside av,2011/07/26 00:00:00+00,{7CEB7F6B-DC5E-47FC-9135-ACFC581AFF26}
1452376.00412508,715613.767046906,6,T,Maackia amurensis,2,80,2022,59,lakeside av,2022/06/08 00:00:00+00,{06623D73-3681-4E75-8266-301E0A1448AC}
1452294.45966874,715607.064304404,7,T,Acer saccharinum,45,70,0,51,lakeside av,2020/08/20 00:00:00+00,{7F2A1933-BED7-47CC-AFC0-11F1DB06123D}
1452228.89155841,715573.800263323,9,T,Acer x freemannii 'Sienna Glen',10,80,2008,45,lakeside av,2023/06/09 00:00:00+00,{86225F01-6618-425B-9683-78DE16C3B61E}
1452230.17075533,715466.972064905,10,T,Tilia cordata 'Greenspire',29,70,0,12,central av,2023/06/09 00:00:00+00,{E6EE0334-7218-48B1-8C76-19F405BE9668}
1452229.7895225,715498.774166659,11,T,Malus 'Rejzam',2,80,2025,10,central av,2022/06/08 00:00:00+00,{BCBC857E-E184-4136-A8EB-6A306F696EAE}
1452232.56379516,715386.852146402,12,T,Quercus coccinea,2,80,2022,20,central av,2022/06/08 00:00:00+00,{68D8242E-DE62-4B7A-91FF-6D857389471A}
1452231.87285166,715360.579561152,13,T,Acer saccharum,2,50,0,20,central av,2011/07/26 00:00:00+00,{F3EDE128-3029-49AD-BE72-07209105D7DD}
