city_id,taxon_id,lat,lng,collection_id,dbh_in,condition,planted_year,address,recorded_on,source_id
BTV-886,quercus-macrocarpa,44.474829,-73.190863,central,14,fair,,284 East Ave,2014-04-15,{9766CA1F-B080-4BBB-BB86-E76703FA6659}
BTV-887,quercus-rubra,44.474706,-73.190830,central,8,fair,,284 East Ave,2014-04-15,{F3AAC57F-5489-44FE-AE35-151BAF82B58E}
BTV-888,quercus-rubra,44.474623,-73.190811,central,9,fair,,284 East Ave,2014-04-15,{6B5EFC9E-D3BE-4315-A9A8-E5B98064848A}
BTV-889,quercus-rubra,44.474513,-73.190780,central,9,good,,284 East Ave,2014-04-15,{B203166A-67DB-427D-88B6-067BDBCBFA7F}
BTV-890,quercus-macrocarpa,44.474411,-73.190758,central,17,fair,,284 East Ave,2014-04-15,{F614A988-C784-41F5-B6EB-1E852B7BA095}
BTV-891,quercus-macrocarpa,44.474302,-73.190725,central,18,fair,,284 East Ave,2014-04-15,{B9556A0B-5397-4A72-8E84-BE05270178E6}
BTV-892,quercus-macrocarpa,44.474241,-73.190707,central,17,fair,,284 East Ave,2014-04-15,{857819F6-7024-4561-A734-8B13ACD5E531}
BTV-893,quercus-macrocarpa,44.474131,-73.190680,central,14,good,,284 East Ave,2014-04-15,{9C3FB24D-E515-4AA5-9D55-92FF5036955B}
BTV-894,quercus-macrocarpa,44.473987,-73.190656,central,12,fair,,284 East Ave,2014-11-06,{5E9EBD61-1C92-40E5-99BA-2E59A7BAC65E}
BTV-1505,ulmus-sp,44.477776,-73.203019,central,3,good,2010,420 College St,2014-05-28,{F78B5D79-1640-47B1-92E0-BDAA5017DEDA}
BTV-1506,celtis-occidentalis,44.480786,-73.203192,central,8,fair,2010,388 Pearl St,2022-08-11,{7100BA6C-1EE0-4F83-840D-A0E9D350A32B}
BTV-1507,celtis-occidentalis,44.480819,-73.201940,central,4,good,2010,416 Pearl St,2018-08-17,{03A7AD9A-079E-46A2-97B0-48BB7621ADC9}
BTV-2371,celtis-occidentalis,44.474830,-73.200555,central,2,fair,2012,194 South Prospect St,2019-03-28,{56D512FE-4CC4-4992-B331-C677DF1470F1}
BTV-2372,celtis-occidentalis,44.475104,-73.200564,central,2,good,2012,194 South Prospect St,2022-06-22,{8729969D-8098-4F56-9FC8-1E2B70519F65}
BTV-2374,zelkova-serrata,44.473988,-73.202508,central,10,good,2012,83 Summit St,2019-03-29,{E443F44C-3436-465A-AB5F-7D2B983EF474}
BTV-2375,acer-tataricum,44.474083,-73.203001,central,4,good,2017,61 Summit St,2023-08-31,{9013A38A-9A7A-4960-9C1B-C11C61E96D39}
BTV-2376,maackia-amurensis,44.474087,-73.202906,central,1,excellent,2019,61 Summit St,2020-03-05,{2DA127EA-16F4-4A4C-834E-7724776C23BA}
BTV-2377,malus-sp,44.474090,-73.202826,central,2,good,2021,61 Summit St,2021-11-23,{60F3C7B9-355E-45F7-9796-6CB046386FA1}
BTV-4864,celtis-occidentalis,44.473984,-73.202633,central,6,good,2018,83 Summit St,2023-09-14,{E2D97810-7D40-4952-8AC6-8B6B65D0D9F9}
BTV-4865,acer-x-freemanii,44.473978,-73.202813,central,6,good,2018,83 Summit St,2023-09-14,{2F9E9F12-7BA6-441C-85AE-ACE8BB536C97}
BTV-4866,acer-x-freemanii,44.473974,-73.202986,central,7,good,2018,83 Summit St,2023-09-14,{0BA7D9D5-6564-4FAB-A00A-EE424C895602}
