plant_id,surveyed_on,surveyor,dbh_in,height_ft,spread_ft,condition,status,photo,notes
UVM-0493,2026-09-01,EMR,,,,good,active,493-1788288876530.jpg,
UVM-0772,2026-09-01,EMR,,,,excellent,active,772-1788288766549.jpg,
UVM-0778,2026-09-01,EMR,,,,excellent,active,778-1788288680135.jpg,
UVM-0762,2026-09-01,EMR,,,,good,active,762-1788288601167.jpg,
UVM-0763,2026-09-01,EMR,,,,excellent,active,763-1788288527638.jpg,
UVM-0765,2026-09-01,EMR,,,,excellent,active,765-1788288472730.jpg,
UVM-0711,2023-10-14,EC,,,,good,active,,
UVM-0712,2023-10-14,EC,,,,good,active,,
UVM-3832,2023-10-14,EC,,,,good,active,,
UVM-0725,2023-10-14,EC,,,,good,active,,
UVM-0726,2023-10-14,EC,,,,good,active,,
UVM-0727,2023-10-14,EC,,,,good,active,,
UVM-4001,2023-10-14,EC,,,,good,active,,
UVM-0731,2023-10-14,EC,,,,good,active,,
UVM-4002,2023-10-14,EC,,,,good,active,,
UVM-4003,2023-10-14,EC,,,,good,active,,
UVM-4004,2023-10-14,EC,,,,good,active,,
UVM-0747,2023-10-14,EC,,,,good,active,,
UVM-0746,2023-10-14,EC,,,,good,active,,
UVM-0745,2023-10-14,EC,,,,good,active,,
UVM-0744,2023-10-14,EC,,,,good,active,,
UVM-0749,2023-10-14,EC,,,,good,active,,
UVM-0750,2023-10-14,EC,,,,good,active,,
UVM-4005,2023-10-14,EC,,,,good,active,,
UVM-0751,2023-10-14,EC,,,,good,active,,
UVM-0753,2023-10-14,EC,,,,good,active,,
UVM-0755,2023-10-14,EC,,,,good,active,,
UVM-0374,2023-10-14,EC,,,,good,active,,
UVM-0356,2023-10-14,EC,,,,good,active,,
UVM-0357,2023-10-14,EC,,,,good,active,,
UVM-0358,2023-10-14,EC,,,,good,active,,
UVM-0359,2023-10-14,EC,,,,good,active,,
UVM-0355,2023-10-14,EC,,,,good,active,,
UVM-0354,2023-10-14,EC,,,,good,active,,
UVM-0353,2023-10-14,EC,,,,good,active,,
UVM-0782,2023-10-14,EC,,,,good,active,,
UVM-3831,2023-10-16,EC,,,,good,active,,
UVM-0663,2023-10-22,EC,,,,good,active,,
UVM-0664,2023-10-22,EC,,,,good,active,,
UVM-0665,2023-10-22,EC,,,,good,active,,
UVM-0666,2023-10-22,EC,,,,good,active,,
UVM-0668,2023-10-22,EC,,,,good,active,,
UVM-0667,2023-10-22,EC,,,,good,active,,
UVM-0669,2023-10-22,EC,,,,good,active,,
UVM-3814,2023-10-22,EC,,,,good,active,,
UVM-0671,2023-10-22,EC,,,,good,active,,
UVM-3816,2023-10-22,EC,,,,good,active,,
UVM-0673,2023-10-22,EC,,,,good,active,,
UVM-3818,2023-10-22,EC,,,,good,active,,
UVM-4006,2023-10-22,EC,,,,good,active,,
UVM-4007,2023-10-22,EC,,,,good,active,,
UVM-4008,2023-10-22,EC,,,,good,active,,
