alias,taxon_id,note
White pine,pinus-strobus,
Weeping white pine,pinus-strobus,Cultivar not distinguished
Honey locust,gleditsia-triacanthos,
Crab apple,malus-sp,
Apple,malus-domestica,
Red oak,quercus-rubra,
Fastigiate English oak,quercus-robur-fastigiata,
Majestic Sky northern pin oak,quercus-ellipsoidalis,Cultivar 'Majestic Skies' not distinguished
Ash,fraxinus-sp,Genus only in the source
Freeman maple,acer-x-freemanii,
Blue Spruce,picea-pungens,
Little leaf linden,tilia-cordata,
Basswood,tilia-americana,
White cedar,thuja-occidentalis,
Cedar,thuja-sp,Genus only; assumed Thuja rather than Juniperus
Musclewood,carpinus-caroliniana,Local name for American hornbeam
Ironwood,ostrya-virginiana,Local name for eastern hophornbeam
Washington hawthorn,crataegus-phaenopyrum,
Crimson Cloud Hawthornvigata suberpa crimson cloud,crataegus-laevigata-crimson-cloud,Garbled entry in the source
White birch,betula-papyrifera,
Black birch,betula-lenta,Local name for sweet birch
American sycamore,platanus-occidentalis,
Horse chestnut,aesculus-hippocastanum,
Larch,larix-sp,Genus only in the source
Bald cypress,taxodium-distichum,
Lombardy black poplar,populus-nigra,
Big tooth aspen,populus-grandidentata,
American chestnut,castanea-dentata,
Northern Katalpa,catalpa-speciosa,Misspelling of catalpa
Northern Northern Katalpa,catalpa-speciosa,Duplicated word in the source
Scots pine,pinus-sylvestris,
Hemlock,tsuga-canadensis,Genus only; eastern hemlock is the only one here
Tulip poplar,liriodendron-tulipifera,
Sweet gum,liquidambar-styraciflua,
Smoke tree,cotinus-coggygria,
Weeping Alaska cedar,callitropsis-nootkatensis,Cultivar not distinguished
Magnolia,magnolia-sp,Genus only in the source
Big leaf magnolia,magnolia-macrophylla,
Intermediate yew,taxus-x-media,
Green Giant Arborvitae,thuja-green-giant,
Witch hazel,hamamelis-virginiana,
Japanese lilac,syringa-reticulata,
Lilac,syringa-vulgaris,Assumed common lilac rather than the tree lilacs
Three flower maple,acer-triflorum,
Paper bark maple,acer-griseum,
Crimson King Norway Maple,acer-platanoides-crimson-king,
Kentucky coffee tree,gymnocladus-dioicus,
Amur cork tree,phellodendron-amurense,
Mountain ash,sorbus-aucuparia,
Mulberry,morus-alba,Genus only; white mulberry is the usual one here
Weeping mulberry,morus-alba,Cultivar not distinguished
Black cherry,prunus-serotina,
Purple leaf sand cherry,prunus-x-cistena,
Montmorency cherry,prunus-cerasus-montmorency,
Summer Sweet Clethra,clethra-alnifolia,
Boxwood,buxus-sempervirens,
Spirea,spiraea-sp,Genus only in the source
Dragon claw willow,salix-matsudana-tortuosa,
White Fringe Tree,chionanthus-virginicus,
White Fringetree,chionanthus-virginicus,
Carolina Silverbell,halesia-tetraptera,Halesia carolina is usually treated as a synonym
Weeping Katsura Tree,cercidiphyllum-japonicum,Cultivar 'Pendulum' not distinguished
Eastern hackberry,celtis-occidentalis,
Japanese stewardia,stewartia-pseudocamellia,Misspelling of stewartia
Seven son flower,heptacodium-miconioides,
Concolor fir,abies-concolor,
Alternate leaf dogwood,cornus-alternifolia,
Turkish Hazel,corylus-colurna,
Weeping Elm,ulmus-glabra-camperdownii,
Buckthorn,rhamnus-cathartica,Genus only; common buckthorn is the usual one here
Elm,ulmus-sp,Genus only in the source
ID Needed,,Not a species — the surveyor flagged it for identification
Unknown,,Not a species
