plant_id,differs_at,map_taxon,map_name,inventory_2014_taxon,inventory_2014_name,inventory_2014_as_written,dbh_in_2014,age_class_2014,condition_2014
UVM-0026,genus,pseudotsuga-menziesii,Douglas fir,abies-concolor,White fir,Fir-White,17,Semi-mature,Good
UVM-0034,genus,betula-nigra,River birch,prunus-subhirtella,Weeping Cherry,Weeping Cherry,6,Young,Good
UVM-0376,genus,syringa-reticulata,Japanese Tree lilac,prunus-serrulata,Flowering cherry,Cherry-Flowering,6,Semi-mature,Fair
UVM-0377,genus,syringa-reticulata,Japanese Tree lilac,prunus-serrulata,Flowering cherry,Cherry-Flowering,7,Semi-mature,Fair
UVM-0379,genus,acer-palmatum,Japanese maple,prunus-serrulata,Flowering cherry,Cherry-Flowering,8,Semi-mature,Fair
UVM-0383,genus,quercus-alba,White oak,betula-nigra,River birch,Birch-River,2,Young,Fair
UVM-0478,genus,quercus-palustris,Pin oak,gleditsia-triacanthos,Thornless Common honeylocust,Honeylocust-Thornless Common,13,Mature,Fair
UVM-0491,genus,zelkova-serrata,Japanese zelkova,ostrya-virginiana,Eastern hophornbeam,Hornbeam-American,4,Semi-mature,Fair
UVM-0633,genus,amelanchier-sp,Serviceberry,zelkova-serrata,Japanese zelkova,Zelkova-Japanese,5,Young,Good
UVM-0640,genus,pseudotsuga-menziesii,Douglas fir,abies-balsamea,Balsam fir,Fir-Balsam,2,Young,Good
UVM-0712,genus,cornus-florida,Flowering dogwood,halesia-tetraptera,Four Winged silverbell,Silverbell-Four Winged,7,Mature,Good
UVM-0904,genus,pseudotsuga-menziesii,Douglas fir,malus-sp,Crabapple,Crabapple,5,Young,Good
UVM-0911,genus,picea-abies,Norway spruce,thuja-occidentalis,Northern white cedar,Arborvitae-Eastern,2,Young,Fair
UVM-0992,genus,tilia-cordata,Littleleaf linden,acer-saccharum,Sugar maple,Maple-Sugar,30,Mature,Fair
UVM-1032,genus,quercus-rubra,Northern red oak,tilia-x-europaea,European linden,Linden-European,4,Young,Good
UVM-1293,genus,corylus-colurna,Turkish filbert,ostrya-virginiana,Eastern hophornbeam,Hornbeam-American,2,Young,Fair
UVM-1357,genus,pseudotsuga-menziesii,Douglas fir,abies-balsamea,Balsam fir,Fir-Balsam,1,New planting,Fair
UVM-1429,genus,crataegus-sp,Hawthorn,malus-sp,Crabapple,Crabapple,10,Mature,Good
UVM-1430,genus,crataegus-sp,Hawthorn,malus-sp,Crabapple,Crabapple,7,Mature,Good
UVM-1449,genus,buxus-sempervirens,Common boxwood,acer-negundo,Boxelder,Boxelder,15,Mature,Good
UVM-1467,genus,taxodium-distichum,Common baldcypress,metasequoia-glyptostroboides,Dawn redwood,Redwood-Dawn,2,Young,Fair
UVM-1468,genus,taxodium-distichum,Common baldcypress,metasequoia-glyptostroboides,Dawn redwood,Redwood-Dawn,3,Young,Fair
UVM-1626,genus,robinia-pseudoacacia,Black locust,gleditsia-triacanthos,Thornless Common honeylocust,Honeylocust-Thornless Common,8,Semi-mature,Fair
UVM-1639,genus,gleditsia-triacanthos,Thornless Common honeylocust,salix-alba,White willow,Willow-White,11,Semi-mature,Good
UVM-1641,genus,gleditsia-triacanthos,Thornless Common honeylocust,salix-sp,Willow,Willow,8,New planting,Good
UVM-1644,genus,gleditsia-triacanthos,Thornless Common honeylocust,maackia-amurensis,Amur maackia,Maackia-Amur,7,Semi-mature,Good
UVM-1650,genus,taxodium-distichum,Common baldcypress,metasequoia-glyptostroboides,Dawn redwood,Redwood-Dawn,7,Young,Good
UVM-1699,genus,picea-glauca,White spruce,abies-concolor,White fir,Fir-White,2,Young,Good
UVM-1719,genus,liquidambar-styraciflua,Sweetgum,nyssa-sylvatica,Black tupelo,Tupelo-Black,3,Young,Good
UVM-1745,genus,juglans-nigra,Black walnut,fraxinus-americana,White ash,Ash-White,4,Young,Good
UVM-1786,genus,liquidambar-styraciflua,Sweetgum,nyssa-sylvatica,Black tupelo,Tupelo-Black,3,Young,Good
UVM-1798,genus,ulmus-glabra-camperdownii,Camperdown elm,quercus-macrocarpa,Bur oak,Oak-Bur,3,Young,Good
UVM-1804,genus,ostrya-virginiana,Eastern hophornbeam,zelkova-serrata,Japanese zelkova,Zelkova-Japanese,16,Mature,Good
UVM-1810,genus,acer-platanoides,Norway maple,aesculus-hippocastanum,Common horsechestnut,Horsechestnut-Common,16,Mature,Good
UVM-1843,genus,ostrya-virginiana,Eastern hophornbeam,carpinus-caroliniana,American hornbeam,Hornbeam-American,4,Young,Fair
UVM-1926,genus,pinus-strobus,Eastern white pine,rhamnus-cathartica,Common buckthorn,Buckthorn-European,8,Mature,Poor
UVM-1927,genus,thuja-occidentalis,Northern white cedar,rhamnus-cathartica,Common buckthorn,Buckthorn-European,4,Mature,Poor
UVM-2006,genus,acer-platanoides,Norway maple,picea-abies,Norway spruce,Spruce-Norway,32,Mature,Fair
UVM-2096,genus,betula-lenta,Sweet birch,prunus-serrulata,Flowering cherry,Cherry-Flowering,11,Mature,Fair
UVM-2097,genus,malus-sp,Crabapple,pyrus-communis,Common pear,Pear-Common,5,Semi-mature,Fair
UVM-2100,genus,malus-sp,Crabapple,pyrus-communis,Common pear,Pear-Common,6,Semi-mature,Fair
UVM-2140,genus,celtis-occidentalis,Hackberry,quercus-rubra,Northern red oak,Oak- Northern Red,3,Young,Fair
UVM-2142,genus,phellodendron-amurense,Amur corktree,maackia-amurensis,Amur maackia,Maackia-Amur,8,Semi-mature,Good
