Tree,Common_Name,Botanical,DBH,Age_Class,Condition
1,Maple-Silver,Acer saccharinum,22,Semi-mature,Fair
2,Maple-Sugar,Acer saccharum,21,Semi-mature,Fair
3,Ash-Green,Fraxinus pennsylvanica,17,Semi-mature,Fair
4,Fir-Douglas,Pseudotsuga menziesii,11,Semi-mature,Poor
5,Fir-Douglas,Pseudotsuga menziesii,19,Semi-mature,Fair
6,Fir-Douglas,Pseudotsuga menziesii,10,Semi-mature,Fair
7,Maple-Norway,Acer platanoides,33,Mature,Poor
8,Tuliptree,Liriodendron tulipifera,26,Semi-mature,Good
9,Tuliptree,Liriodendron tulipifera,13,Young,Good
10,Maple-Silver,Acer saccharinum,29,Mature,Poor
12,Maple-Norway,Acer platanoides,26,Mature,Fair
13,Fir-Douglas,Pseudotsuga menziesii,9,Semi-mature,Fair
14,Maple-Sugar,Acer saccharum,28,Mature,Fair
15,Horsechestnut-Common,Aesculus hippocastanum,22,Semi-mature,Good
16,Horsechestnut-Common,Aesculus hippocastanum,16,Semi-mature,Fair
17,Maple-Sugar,Acer saccharum,24,Semi-mature,Fair
18,Maple-Silver,Acer saccharinum,31,Mature,Fair
19,Maple-Norway,Acer platanoides,27,Mature,Fair
20,Maple-Silver,Acer saccharinum,24,Mature,Good
21,Maple-Silver,Acer saccharinum,35,Mature,Fair
22,Maple-Norway,Acer platanoides,13,Semi-mature,Poor
23,Maple-Red,Acer rubrum,20,Semi-mature,Fair
25,Cherry-Flowering,Prunus serrulata,6,Semi-mature,Poor
26,Fir-White,Abies concolor,17,Semi-mature,Good
27,Oak- Northern Red,Quercus rubra,27,Mature,Fair
28,Oak-Pin,Quercus palustris,22,Semi-mature,Fair
29,Horsechestnut-Common,Aesculus hippocastanum,9,Young,Good
30,Horsechestnut-Common,Aesculus hippocastanum,18,Semi-mature,Good
31,Cherry-Flowering,Prunus serrulata,15,Semi-mature,Fair
32,Cherry-Flowering,Prunus serrulata,10,Semi-mature,Good
33,Cherry-Flowering,Prunus serrulata,5,Young,Poor
34,Weeping Cherry,Prunus subhirtella,6,Young,Good
35,Chokecherry-Amur,Prunus maackii,7,Young,Good
36,Pine-Austrian,Pinus nigra,17,Semi-mature,Fair
37,Ginkgo,Ginkgo biloba,15,Semi-mature,Good
38,Maple-Sugar,Acer saccharum,30,Mature,Fair
39,Hemlock-Canadian,Tsuga canadensis,18,Semi-mature,Good
40,Hemlock-Canadian,Tsuga canadensis,21,Semi-mature,Good
41,Hemlock-Canadian,Tsuga canadensis,12,Semi-mature,Good
42,Maple-Sugar,Acer saccharum,30,Mature,Fair
43,Redcedar-Eastern,Juniperus virginiana,12,Semi-mature,Fair
44,Arborvitae-Eastern,Thuja occidentalis,7,Semi-mature,Good
45,Maple-Sugar,Acer saccharum,27,Mature,Fair
46,Maple-Sugar,Acer saccharum,24,Semi-mature,Good
47,Oak-Bur,Quercus macrocarpa,20,Semi-mature,Good
49,Pine-Eastern White,Pinus strobus,25,Mature,Fair
50,Pine-Eastern White,Pinus strobus,15,Semi-mature,Fair
51,Pine-Eastern White,Pinus strobus,28,Semi-mature,Poor
52,Pine-Eastern White,Pinus strobus,28,Mature,Poor
53,Pine-Eastern White,Pinus strobus,23,Mature,Fair
54,Pine-Eastern White,Pinus strobus,25,Mature,Good
58,Oak- Northern Red,Quercus rubra,49,Over-mature,Poor
59,Oak-Pin,Quercus palustris,20,Mature,Fair
60,Oak-Pin,Quercus palustris,21,Mature,Fair
61,Oak-Pin,Quercus palustris,16,Semi-mature,Fair
62,Maple-Sugar,Acer saccharum,38,Over-mature,Poor
63,Ash-Green,Fraxinus pennsylvanica,23,Mature,Fair
64,Maple-Silver,Acer saccharinum,32,Mature,Good
66,Maple-Silver,Acer saccharinum,29,Mature,Fair
67,Maple-Silver,Acer saccharinum,25,Mature,Fair
68,Maple-Silver,Acer saccharinum,23,Mature,Fair
69,Maple-Silver,Acer saccharinum,32,Mature,Fair
71,Crabapple,Malus sp,18,Semi-mature,Fair
72,Horsechestnut-Common,Aesculus hippocastanum,22,Semi-mature,Good
73,Oak-English,Quercus robur,14,Semi-mature,Fair
74,Horsechestnut-Common,Aesculus hippocastanum,18,Semi-mature,Good
75,Crabapple,Malus sp,17,Semi-mature,Fair
76,Spruce-Colorado Blue,Picea pungens,18,Semi-mature,Poor
77,Crabapple,Malus sp,12,Semi-mature,Fair
80,Crabapple,Malus sp,11,Semi-mature,Fair
81,Magnolia-Star,Magnolia stellata,4,Young,Good
82,Serviceberry,Amelanchier sp,7,Young,Poor
83,Serviceberry,Amelanchier sp,5,Young,Fair
84,Spruce-Colorado Blue,Picea pungens,15,Semi-mature,Good
85,Spruce-Colorado Blue,Picea pungens,17,Semi-mature,Fair
86,Spruce-Colorado Blue,Picea pungens,17,Semi-mature,Fair
88,Spruce-Colorado Blue,Picea pungens,15,Semi-mature,Fair
89,Maple-Red,Acer rubrum,10,Semi-mature,Good
90,Spruce-Colorado Blue,Picea pungens,19,Semi-mature,Fair
91,Spruce-Colorado Blue,Picea pungens,15,Semi-mature,Good
92,Ash-White,Fraxinus americana,36,Mature,Good
93,Oak- Northern Red,Quercus rubra,18,Semi-mature,Good
94,Beech-American,Fagus grandifolia,12,Semi-mature,Fair
95,Spruce-Colorado Blue,Picea pungens,12,Semi-mature,Poor
96,Spruce-Colorado Blue,Picea pungens,16,Semi-mature,Fair
97,Spruce-Norway,Picea abies,22,Semi-mature,Good
98,Spruce-Norway,Picea abies,22,Semi-mature,Good
99,Maple-Sugar,Acer saccharum,10,Young,Poor
100,Redwood-Dawn,Metasequoia glyptostroboides,40,Mature,Fair
101,Spruce-Colorado Blue,Picea pungens,5,Young,Fair
102,Maple-Silver,Acer saccharinum,20,Semi-mature,Fair
103,Maple-Silver,Acer saccharinum,23,Mature,Fair
104,Maple-Silver,Acer saccharinum,24,Mature,Fair
105,Elm,Ulmus sp,17,Semi-mature,Fair
